customer_id,age,city,employment_type,tenure_at_bank_months,existing_customer,declared_income,true_monthly_income,avg_monthly_credits,avg_monthly_debits,monthly_surplus,salary_credit_regularity,avg_savings_balance,savings_growth_rate_3m,upi_txn_count_monthly,upi_avg_ticket_size,has_existing_loan,existing_emi_amount,existing_dti,bounce_count_6m,credit_bureau_score,rent_share,auto_fuel_ev_share,education_share,healthcare_share,discretionary_share,mobile_app_logins_monthly,autopay_mandates_active,recent_large_txn_flag,recent_property_related_txn,recent_auto_dealer_txn,repayment_capacity_ratio,converted,recommended_product_true,employment_type_enc,predicted_income,lead_probability,is_high_quality_lead,predicted_product
CUST100000,26,Lucknow,Salaried-Private,62,1,39911.0,46828.0,45070.0,25957.0,19114.0,0.908,26292.0,-0.033,13,300.0,1,11187.0,0.239,0,893,0.15,0.024,0.001,0.0,0.585,17,3,1,0,0,0.611,1,Personal Loan,2,45543.887,0.90394646,1,Personal Loan
CUST100001,50,Pune,Self-Employed,41,0,44762.0,55763.0,60172.0,28826.0,31345.0,0.409,49369.0,-0.046,20,421.0,1,9664.0,0.173,2,735,0.341,0.0,0.058,0.025,0.402,10,1,1,0,0,0.486,0,Personal Loan,3,57628.598,0.034237187,0,Personal Loan
CUST100002,45,Jaipur,Business Owner,95,1,59658.0,66806.0,66147.0,48642.0,17505.0,0.278,114424.0,0.084,19,282.0,0,0.0,0.0,1,693,0.097,0.027,0.104,0.132,0.64,6,3,0,0,0,0.903,0,Personal Loan,0,66049.305,0.008027027,0,Personal Loan
CUST100003,38,Pune,Self-Employed,120,1,24075.0,43677.0,38154.0,32655.0,5500.0,0.636,26361.0,0.011,10,925.0,1,11355.0,0.26,0,641,0.128,0.053,0.0,0.0,0.559,13,3,0,0,0,0.612,0,Personal Loan,3,41051.055,0.0060449773,0,Personal Loan
CUST100004,38,Mumbai,Salaried-Private,49,1,97374.0,93075.0,103876.0,93584.0,10292.0,0.948,500.0,0.076,27,50.0,1,16001.0,0.172,0,727,0.373,0.014,0.138,0.026,0.277,29,2,0,0,0,0.455,0,Personal Loan,2,92779.734,0.029278893,0,Personal Loan
CUST100005,53,Pune,Salaried-Private,138,1,57973.0,69614.0,66850.0,62612.0,4238.0,0.992,500.0,0.164,21,866.0,0,0.0,0.0,0,685,0.135,0.091,0.12,0.0,0.654,17,2,1,0,0,0.865,1,Personal Loan,2,66853.336,0.9640657,1,Personal Loan
CUST100006,26,Ahmedabad,Business Owner,116,1,87871.0,73975.0,68430.0,53845.0,14586.0,0.453,146822.0,0.003,20,333.0,0,0.0,0.0,0,695,0.124,0.0,0.066,0.009,0.802,10,1,1,1,0,0.876,0,Home Loan,0,68147.51,0.07510721,0,Home Loan
CUST100007,47,Kolkata,Business Owner,32,0,126760.0,110714.0,76789.0,51650.0,25139.0,0.385,11788.0,-0.008,29,665.0,0,0.0,0.0,0,827,0.101,0.0,0.0,0.024,0.875,13,1,1,0,0,0.899,0,Personal Loan,0,101220.76,0.27107808,1,Personal Loan
CUST100008,30,Hyderabad,Salaried-Govt,169,1,74701.0,51334.0,63932.0,46006.0,17926.0,1.0,500.0,0.014,9,567.0,0,0.0,0.0,0,809,0.0,0.1,0.191,0.0,0.71,19,9,1,0,0,1.0,1,Personal Loan,1,52777.43,0.98906016,1,Personal Loan
CUST100009,26,Pune,Self-Employed,10,0,16529.0,24104.0,25331.0,12570.0,12761.0,0.13,65981.0,0.043,1,400.0,1,3953.0,0.164,2,643,0.302,0.174,0.06,0.046,0.254,11,0,0,0,1,0.534,0,Auto Loan,3,23580.576,0.0072372574,0,Auto Loan
